sample_datetime bat cal_start_datetime f id lat lon num sample_datetime temp x y z igrfx igrfy igrfz igrff
"2012-08-26 22:03:28" 13.2 "2012-08-26 22:00:00" 46268.25090999227 7 47.992428 -128.467285 208 "2012-08-26 22:03:28" 17.82 40390.3 -15131.3 16745.7 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:29" 13.2 "2012-08-26 22:00:00" 49746.37835400684 7 47.992428 -128.467285 209 "2012-08-26 22:03:29" 17.83 46099.1 -7756.3 17012.2 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:30" 13.2 "2012-08-26 22:00:00" 42838.02866180935 7 47.992428 -128.467285 210 "2012-08-26 22:03:30" 17.86 37100.7 -9858.5 19011.7 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:31" 13.2 "2012-08-26 22:00:00" 49880.651333658425 7 47.992428 -128.467285 211 "2012-08-26 22:03:31" 17.86 46550.3 -2490.7 17746.7 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:32" 13.2 "2012-08-26 22:00:00" 51536.68403176518 7 47.992428 -128.467285 212 "2012-08-26 22:03:32" 17.86 48620.7 -3545.3 16717.9 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:33" 13.2 "2012-08-26 22:00:00" 51608.64001957424 7 47.992428 -128.467285 213 "2012-08-26 22:03:33" 17.88 48163.1 -9943.5 15649.1 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:34" 13.2 "2012-08-26 22:00:00" 51527.6234799355 7 47.992428 -128.467285 214 "2012-08-26 22:03:34" 17.94 47567.9 -12807.2 15111.8 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:35" 13.2 "2012-08-26 22:00:00" 44624.6422086497 7 47.992428 -128.467285 215 "2012-08-26 22:03:35" 17.92 39705.5 -6867.8 19174.6 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:36" 13.2 "2012-08-26 22:00:00" 47612.192709326046 7 47.992428 -128.467285 216 "2012-08-26 22:03:36" 17.91 43670.3 -2450.7 18810.1 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:37" 13.2 "2012-08-26 22:00:00" 51390.50134509294 7 47.992428 -128.467285 217 "2012-08-26 22:03:37" 17.91 48444.7 -800.4 17130.5 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:38" 13.2 "2012-08-26 22:00:00" 44515.244915646595 7 47.992428 -128.467285 218 "2012-08-26 22:03:38" 17.95 39673.5 -586.2 20181.1 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:39" 13.2 "2012-08-26 22:00:00" 49190.17746278214 7 47.992428 -128.467285 219 "2012-08-26 22:03:39" 17.86 45670.3 -2238.7 18135.2 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:40" 13.2 "2012-08-26 22:00:00" 41846.8380278606 7 47.992428 -128.467285 220 "2012-08-26 22:03:40" 17.83 36107.4 1490.1 21099.6 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:41" 13.2 "2012-08-26 22:00:00" 44281.86400999849 7 47.992428 -128.467285 221 "2012-08-26 22:03:41" 17.97 39225.6 1547.8 20490.0 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:42" 13.2 "2012-08-26 22:00:00" 48519.92534351223 7 47.992428 -128.467285 222 "2012-08-26 22:03:42" 17.92 43354.1 10085.7 19310.2 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:43" 13.2 "2012-08-26 22:00:00" 45536.033412452605 7 47.992428 -128.467285 223 "2012-08-26 22:03:43" 17.89 40511.7 4386.7 20324.6 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:44" 13.2 "2012-08-26 22:00:00" 49427.82511318903 7 47.992428 -128.467285 224 "2012-08-26 22:03:44" 17.92 42252.1 17621.5 18637.4 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:45" 13.2 "2012-08-26 22:00:00" 50843.17169630549 7 47.992428 -128.467285 225 "2012-08-26 22:03:45" 17.94 45115.9 14889.3 18107.8 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:46" 13.2 "2012-08-26 22:00:00" 46175.5663480157 7 47.992428 -128.467285 226 "2012-08-26 22:03:46" 17.91 38293.0 16220.0 20068.4 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:47" 13.2 "2012-08-26 22:00:00" 47648.34855763629 7 47.992428 -128.467285 227 "2012-08-26 22:03:47" 17.91 39672.3 17895.3 19396.7 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:48" 13.2 "2012-08-26 22:00:00" 45175.7386287153 7 47.992428 -128.467285 228 "2012-08-26 22:03:48" 17.95 37440.7 14806.0 20489.6 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:49" 13.2 "2012-08-26 22:00:00" 46910.19475668375 7 47.992428 -128.467285 229 "2012-08-26 22:03:49" 17.95 41901.1 6786.7 19970.1 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:50" 13.2 "2012-08-26 22:00:00" 49313.74035915345 7 47.992428 -128.467285 230 "2012-08-26 22:03:50" 17.92 44898.0 7641.0 18911.1 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:51" 13.2 "2012-08-26 22:00:00" 41344.67896247352 7 47.992428 -128.467285 231 "2012-08-26 22:03:51" 18.0 34840.5 5693.5 21519.9 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:03:52" 13.2 "2012-08-26 22:00:00" 51748.32998213565 7 47.992428 -128.467285 232 "2012-08-26 22:03:52" 17.95 48743.7 2154.3 17242.4 18880.02678642908 5933.964246054379 49441.54934448538 53563.263813442114
"2012-08-26 22:02:55" 13.2 "2012-08-26 22:00:00" 30023.749454223733 6 48.048634 -127.159645 175 "2012-08-26 22:02:55" 17.47 16627.1 -20784.2 13891.8 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:02:56" 13.2 "2012-08-26 22:00:00" 29329.117607251672 6 48.048634 -127.159645 176 "2012-08-26 22:02:56" 17.48 14339.1 -22438.4 12292.5 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:02:57" 13.2 "2012-08-26 22:00:00" 32855.05368219629 6 48.048634 -127.159645 177 "2012-08-26 22:02:57" 17.5 17548.7 -25061.1 11976.6 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:02:58" 13.2 "2012-08-26 22:00:00" 30496.264549285374 6 48.048634 -127.159645 178 "2012-08-26 22:02:58" 17.57 20259.1 -14862.1 17283.2 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:02:59" 13.2 "2012-08-26 22:00:00" 21106.559262466253 6 48.048634 -127.159645 179 "2012-08-26 22:02:59" 17.51 9676.7 -11292.6 14977.5 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:00" 13.2 "2012-08-26 22:00:00" 20857.007860668797 6 48.048634 -127.159645 180 "2012-08-26 22:03:00" 17.51 9846.3 -9933.9 15472.0 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:01" 13.2 "2012-08-26 22:00:00" 24624.110699475015 6 48.048634 -127.159645 181 "2012-08-26 22:03:01" 17.51 9859.1 -19128.7 11968.2 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:02" 13.2 "2012-08-26 22:00:00" 25223.27866099092 6 48.048634 -127.159645 182 "2012-08-26 22:03:02" 17.53 10323.1 -19677.6 11934.8 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:03" 13.2 "2012-08-26 22:00:00" 28021.110635197885 6 48.048634 -127.159645 183 "2012-08-26 22:03:03" 17.57 18326.3 -10997.3 18121.5 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:04" 13.2 "2012-08-26 22:00:00" 33131.599208761414 6 48.048634 -127.159645 184 "2012-08-26 22:03:04" 17.6 20902.3 -20931.0 14922.8 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:05" 13.2 "2012-08-26 22:00:00" 33773.199396710996 6 48.048634 -127.159645 185 "2012-08-26 22:03:05" 17.62 25382.3 -11387.2 19149.4 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:06" 13.2 "2012-08-26 22:00:00" 33241.27662680842 6 48.048634 -127.159645 186 "2012-08-26 22:03:06" 17.6 23996.7 -14160.0 18128.3 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:07" 13.2 "2012-08-26 22:00:00" 38506.238854762225 6 48.048634 -127.159645 187 "2012-08-26 22:03:07" 17.59 24841.5 -26550.5 12676.8 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:08" 13.2 "2012-08-26 22:00:00" 38362.286435247835 6 48.048634 -127.159645 188 "2012-08-26 22:03:08" 17.53 28425.5 -20062.5 16160.2 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:09" 13.2 "2012-08-26 22:00:00" 40772.02963613658 6 48.048634 -127.159645 189 "2012-08-26 22:03:09" 17.66 30707.1 -22056.0 15263.2 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:10" 13.2 "2012-08-26 22:00:00" 43690.24701898583 6 48.048634 -127.159645 190 "2012-08-26 22:03:10" 17.68 35414.3 -20159.7 15756.0 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:11" 13.2 "2012-08-26 22:00:00" 45991.21102417287 6 48.048634 -127.159645 191 "2012-08-26 22:03:11" 17.66 37062.3 -23319.3 14063.7 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:12" 13.2 "2012-08-26 22:00:00" 46435.57904247561 6 48.048634 -127.159645 192 "2012-08-26 22:03:12" 17.68 38287.9 -21905.8 14506.4 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:13" 13.2 "2012-08-26 22:00:00" 44170.11901387634 6 48.048634 -127.159645 193 "2012-08-26 22:03:13" 17.71 37142.3 -17080.4 16724.5 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:14" 13.2 "2012-08-26 22:00:00" 41087.08018027078 6 48.048634 -127.159645 194 "2012-08-26 22:03:14" 17.71 35347.1 -1611.7 20883.8 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:15" 13.2 "2012-08-26 22:00:00" 49132.21400130468 6 48.048634 -127.159645 195 "2012-08-26 22:03:15" 17.73 43071.9 -18439.5 14790.9 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:16" 13.2 "2012-08-26 22:00:00" 44395.35862688801 6 48.048634 -127.159645 196 "2012-08-26 22:03:16" 17.7 37571.1 -16601.8 16844.6 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:17" 13.2 "2012-08-26 22:00:00" 40350.35422620228 6 48.048634 -127.159645 197 "2012-08-26 22:03:17" 17.76 33807.9 -10697.9 19254.4 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:18" 13.2 "2012-08-26 22:00:00" 39134.05658936983 6 48.048634 -127.159645 198 "2012-08-26 22:03:18" 17.71 31897.5 -12576.7 18864.0 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:19" 13.2 "2012-08-26 22:00:00" 41215.37570203625 6 48.048634 -127.159645 199 "2012-08-26 22:03:19" 17.74 32284.7 -19865.6 16179.1 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:20" 13.2 "2012-08-26 22:00:00" 48474.173357056854 6 48.048634 -127.159645 200 "2012-08-26 22:03:20" 17.74 37878.3 -28009.0 11422.6 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:21" 13.2 "2012-08-26 22:00:00" 34327.18831101668 6 48.048634 -127.159645 201 "2012-08-26 22:03:21" 17.71 22636.7 -20789.8 15287.9 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:22" 13.2 "2012-08-26 22:00:00" 32903.74130535918 6 48.048634 -127.159645 202 "2012-08-26 22:03:22" 17.74 24172.7 -11998.8 18824.6 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:03:23" 13.2 "2012-08-26 22:00:00" 42009.314220301196 6 48.048634 -127.159645 203 "2012-08-26 22:03:23" 17.82 30745.5 -25112.5 13742.6 18709.21626051297 5846.392116385077 49792.529809249754 53563.263813442114
"2012-08-26 22:02:26" 13.2 "2012-08-26 22:00:00" 48232.79701178442 5 48.053768 -127.234833 146 "2012-08-26 22:02:26" 17.13 43839.9 -10435.4 17192.1 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:27" 13.2 "2012-08-26 22:00:00" 52092.30237904637 5 48.053768 -127.234833 147 "2012-08-26 22:02:27" 17.19 49273.5 -4554.9 16278.3 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:28" 13.2 "2012-08-26 22:00:00" 53393.24410091599 5 48.053768 -127.234833 148 "2012-08-26 22:02:28" 17.21 50787.1 -6273.6 15236.5 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:29" 13.2 "2012-08-26 22:00:00" 49339.745504917235 5 48.053768 -127.234833 149 "2012-08-26 22:02:29" 17.21 45846.3 -1364.6 18184.2 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:30" 13.2 "2012-08-26 22:00:00" 45918.81078261937 5 48.053768 -127.234833 150 "2012-08-26 22:02:30" 17.3 41487.9 -1409.2 19629.2 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:31" 13.2 "2012-08-26 22:00:00" 50864.096187880896 5 48.053768 -127.234833 151 "2012-08-26 22:02:31" 17.27 46825.5 8164.0 18107.4 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:32" 13.2 "2012-08-26 22:00:00" 49404.64056857413 5 48.053768 -127.234833 152 "2012-08-26 22:02:32" 17.22 44486.1 10185.5 18922.5 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:33" 13.2 "2012-08-26 22:00:00" 48714.85157711147 5 48.053768 -127.234833 153 "2012-08-26 22:02:33" 17.31 44025.2 8061.7 19233.5 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:34" 13.2 "2012-08-26 22:00:00" 47995.890564713976 5 48.053768 -127.234833 154 "2012-08-26 22:02:34" 17.3 41962.3 12639.1 19571.0 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:35" 13.2 "2012-08-26 22:00:00" 46926.69854507133 5 48.053768 -127.234833 155 "2012-08-26 22:02:35" 17.31 41769.2 7591.9 19995.3 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:36" 13.2 "2012-08-26 22:00:00" 45995.003746711445 5 48.053768 -127.234833 156 "2012-08-26 22:02:36" 17.33 41580.7 -1776.1 19581.4 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:37" 13.2 "2012-08-26 22:00:00" 50924.293302509366 5 48.053768 -127.234833 157 "2012-08-26 22:02:37" 17.37 46221.6 11271.2 18160.6 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
"2012-08-26 22:02:38" 13.2 "2012-08-26 22:00:00" 48393.11197030007 5 48.053768 -127.234833 158 "2012-08-26 22:02:38" 17.34 44549.9 540.4 18892.0 18714.88562500421 5851.316216620763 49778.50391390606 53563.263813442114
